coordinate,class_code,class_name,scenario_code,scenario_name,maturity,canonical_item_kind,canonical_index,seed_pair_id,label,label_confidence,ground_truth_kind,data_quality,left_sha256,right_sha256,left_apk_ref,right_apk_ref,source_kind,source_ref,expected_change,expected_invariants,reuse_group,independence_unit,claim_scope
DC-C01-S01-M0,C01,repack,S01,pair_similarity,M0,apk_pair,1,M0-C01-RP-001,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S01-M0,C01,repack,S01,pair_similarity,M0,apk_pair,2,M0-C01-RP-002,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S02-M0,C01,repack,S02,candidate_retrieval,M0,apk_pair,1,M0-C01-RP-001,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S02-M0,C01,repack,S02,candidate_retrieval,M0,apk_pair,2,M0-C01-RP-002,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S03-M0,C01,repack,S03,screening_cost,M0,apk_pair,1,M0-C01-RP-001,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S03-M0,C01,repack,S03,screening_cost,M0,apk_pair,2,M0-C01-RP-002,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S04-M0,C01,repack,S04,deep_cost,M0,apk_pair,1,M0-C01-RP-001,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S04-M0,C01,repack,S04,deep_cost,M0,apk_pair,2,M0-C01-RP-002,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S05-M0,C01,repack,S05,explanation_quality,M0,apk_pair,1,M0-C01-RP-001,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0001,az-repack-01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,M0 materialization and technical checks only; quality claims require M1+ split.
DC-C01-S05-M0,C01,repack,S05,explanation_quality,M0,apk_pair,2,M0-C01-RP-002,positive_repack,strong,external_pair_label,stable_cache_decoded_and_features_extracted,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,,,external_label_sha_pair,AZ-PILOT-001:pairs.csv,signature/container and possible code/resource changes under same lineage,same lineage should remain similar; technical failures are not low similarity,az-repack-AZP-RP-0002,az-repack-04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,M0 materialization and technical checks only; quality claims require M1+ split.
