coordinate,class_code,class_name,scenario_code,scenario_name,maturity,item_kind,m0_run_items,canonical_item_ids,ready_pool_items,extra_ready_items,m0_status,m1_min_items,missing_ready_items_to_m1,negative_items_ready,split_status,explanation_tags_status,truth_quality,independent_units,run_manifest_ref,source_pool_ref,m1_candidate_ref,next_dataset_step
DC-C01-S01-M0,C01,repack,S01,pair_similarity,M0,apk_pair,2,M0-C01-RP-001;M0-C01-RP-002,20,5,ready,20,0,20,m1_ready,m1_ready,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,experiments/datasets/cube/m1/DC-C01-S01-M1/manifest.csv,"C01/S01 M1 структурно готов: 20 положительных и 20 отрицательных пар, split и теги есть; следующий шаг — ручная проверка тегов."
DC-C01-S02-M0,C01,repack,S02,candidate_retrieval,M0,apk_pair,2,M0-C01-RP-001;M0-C01-RP-002,7,5,ready,20,13,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 13 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C01-S03-M0,C01,repack,S03,screening_cost,M0,apk_pair,2,M0-C01-RP-001;M0-C01-RP-002,7,5,ready,20,13,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 13 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C01-S04-M0,C01,repack,S04,deep_cost,M0,apk_pair,2,M0-C01-RP-001;M0-C01-RP-002,7,5,ready,20,13,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 13 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C01-S05-M0,C01,repack,S05,explanation_quality,M0,apk_pair,2,M0-C01-RP-001;M0-C01-RP-002,7,5,ready,20,13,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 13 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C02-S01-M0,C02,library_injection,S01,pair_similarity,M0,apk_pair,2,M0-C02-LIB-APK-001;M0-C02-LIB-APK-002,20,0,ready,20,0,20,m1_ready,m1_ready,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,experiments/datasets/cube/m1/DC-C02-S01-M1/manifest.csv,"C02/S01 M1 структурно готов: 20 положительных и 20 отрицательных пар, split и теги есть; следующий шаг — ручная проверка тегов."
DC-C02-S02-M0,C02,library_injection,S02,candidate_retrieval,M0,apk_pair,2,M0-C02-LIB-APK-001;M0-C02-LIB-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C02-S03-M0,C02,library_injection,S03,screening_cost,M0,apk_pair,2,M0-C02-LIB-APK-001;M0-C02-LIB-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C02-S04-M0,C02,library_injection,S04,deep_cost,M0,apk_pair,2,M0-C02-LIB-APK-001;M0-C02-LIB-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C02-S05-M0,C02,library_injection,S05,explanation_quality,M0,apk_pair,2,M0-C02-LIB-APK-001;M0-C02-LIB-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C03-S01-M0,C03,resource_change,S01,pair_similarity,M0,apk_pair,2,M0-C03-RES-APK-001;M0-C03-RES-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C03-S02-M0,C03,resource_change,S02,candidate_retrieval,M0,apk_pair,2,M0-C03-RES-APK-001;M0-C03-RES-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C03-S03-M0,C03,resource_change,S03,screening_cost,M0,apk_pair,2,M0-C03-RES-APK-001;M0-C03-RES-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C03-S04-M0,C03,resource_change,S04,deep_cost,M0,apk_pair,2,M0-C03-RES-APK-001;M0-C03-RES-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C03-S05-M0,C03,resource_change,S05,explanation_quality,M0,apk_pair,2,M0-C03-RES-APK-001;M0-C03-RES-APK-002,2,0,ready,20,18,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 18 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C04-S01-M0,C04,package_rename,S01,pair_similarity,M0,apk_pair,2,M0-C04-PKG-APK-002;M0-C04-PKG-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C04-S02-M0,C04,package_rename,S02,candidate_retrieval,M0,apk_pair,2,M0-C04-PKG-APK-002;M0-C04-PKG-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C04-S03-M0,C04,package_rename,S03,screening_cost,M0,apk_pair,2,M0-C04-PKG-APK-002;M0-C04-PKG-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C04-S04-M0,C04,package_rename,S04,deep_cost,M0,apk_pair,2,M0-C04-PKG-APK-002;M0-C04-PKG-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C04-S05-M0,C04,package_rename,S05,explanation_quality,M0,apk_pair,2,M0-C04-PKG-APK-002;M0-C04-PKG-APK-003,3,1,ready,20,17,0,not_defined,not_defined,strong,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить 17 готовых положительных пар до M1; затем добавить отрицательные пары, разбиение и теги объяснений."
DC-C05-S01-M0,C05,code_injection,S01,pair_similarity,M0,apk_pair,2,M0-C05-PB-001;M0-C05-PB-002,20,18,ready,20,0,20,m1_ready,m1_ready,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,experiments/datasets/cube/m1/DC-C05-S01-M1/manifest.csv,"C05/S01 M1 структурно готов: 20 положительных и 20 отрицательных пар, split и теги есть; следующий шаг — ручная проверка тегов."
DC-C05-S02-M0,C05,code_injection,S02,candidate_retrieval,M0,apk_pair,2,M0-C05-PB-001;M0-C05-PB-002,20,18,ready,20,0,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить отрицательные пары, разбиение и теги объяснений для M1."
DC-C05-S03-M0,C05,code_injection,S03,screening_cost,M0,apk_pair,2,M0-C05-PB-001;M0-C05-PB-002,20,18,ready,20,0,0,not_defined,not_defined,есть medium,2,experiments/datasets/cube/m0/m0_canonical_pairs.csv,experiments/datasets/cube/m0/m0_seed_pairs.csv,,"Добавить отрицательные пары, разбиение и теги объяснений для M1."
