coordinate,class_code,class_name,scenario_code,scenario_name,maturity,data_status,seed_kind,seed_pair_count,seed_app_count,primary_seed_ref,reusable_pairs_csv,allowed_use,blocker,next_action
DC-C01-S01-M0,C01,repack,S01,pair_similarity,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,7,14,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C01-S02-M0,C01,repack,S02,candidate_retrieval,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,7,14,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C01-S03-M0,C01,repack,S03,screening_cost,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,7,14,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C01-S04-M0,C01,repack,S04,deep_cost,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,7,14,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C01-S05-M0,C01,repack,S05,explanation_quality,M0,stable_cache_decode_verified,sha_pair_with_stable_cache,7,14,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical runs are allowed with the external APK cache; quality claims still require M1+ split.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C01-S06-M0,C01,repack,S06,failure_robustness,M0,covered_by_failure_coordinate,use_DC-F01-S06-M0,0,0,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,Use DC-F01-S06-M0 for failure robustness; this class coordinate is kept for cube completeness.,,Do not invent class-specific failures; link real failures through DC-F01-S06-M0.
DC-C02-S01-M0,C02,library_injection,S01,pair_similarity,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C02-S02-M0,C02,library_injection,S02,candidate_retrieval,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C02-S03-M0,C02,library_injection,S03,screening_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
DC-C02-S04-M0,C02,library_injection,S04,deep_cost,M0,runnable_local,local_or_generated_apk_pair,5,4,m0/m0_seed_pairs.csv,m0/m0_seed_pairs.csv,M0 technical and diagnostic runs only.,,"Use this M0 seed only for the listed scenario, then promote to M1 with a dedicated manifest."
